Column1,DEF,FWD,GK,MID,element_type,now_cost,team,total_points,Arsenal,Aston Villa,Brentford,Brighton,Burnley,Chelsea,Crystal Palace,Everton,Leeds,Leicester,Liverpool,Man City,Man Utd,Newcastle,Norwich,Southampton,Spurs,Watford,West Ham,Wolves,Starting 11
Ben Davies,1,0,0,0,DEF,40,Liverpool,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.0
Ben Davies,1,0,0,0,DEF,40,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0
Ben Davies,1,0,0,0,DEF,45,Liverpool,105,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Ben Davies,1,0,0,0,DEF,45,Spurs,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
Ben Foster,0,0,1,0,GK,42,Watford,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Ben Gibson,1,0,0,0,DEF,44,Norwich,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Ben Godfrey,1,0,0,0,DEF,47,Everton,45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ben Johnson,1,0,0,0,DEF,39,West Ham,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
Ben Mee,1,0,0,0,DEF,46,Burnley,74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ben Nelson,1,0,0,0,DEF,40,Leicester,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0
Ben White,1,0,0,0,DEF,46,Arsenal,107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ben Wilmot,1,0,0,0,DEF,45,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Ben Woodburn,0,0,0,1,MID,45,Liverpool,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Benjamin Chilwell,1,0,0,0,DEF,56,Chelsea,55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Benjamin Chrisene,0,0,0,1,MID,45,Aston Villa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0
Benjamin Mendy,1,0,0,0,DEF,52,Man City,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
Bernard Anício Caldeira Duarte,0,0,0,1,MID,55,Everton,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Bernardo Fernandes Da Silva Junior,1,0,0,0,DEF,40,Brighton,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0
Bernardo Mota Veiga de Carvalho e Silva,0,0,0,1,MID,70,Man City,155,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
Bernd Leno,0,0,1,0,GK,45,Arsenal,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Bertrand Traoré,0,0,0,1,MID,57,Aston Villa,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Billy Gilmour,0,0,0,1,MID,43,Norwich,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Björn Engels,1,0,0,0,DEF,45,Aston Villa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0
Bobby Thomas,1,0,0,0,DEF,39,Burnley,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0
Boubakary Soumaré,0,0,0,1,MID,48,Leicester,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
Brandon Austin,0,0,1,0,GK,40,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
